	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679857_20A.CEL	GSM679858_3B.CEL
205925_s_at	5.96740620299942	6.25083264536602	5.9271015142015	6.61081142991102	5.12545434710109	5.60634160009622
205926_at	4.67488624638395	4.78367977640424	4.52072250257957	4.86281946319329	4.99953815953841	4.95272822196576
205927_s_at	5.29908285679396	4.90152827448136	4.88321869639771	5.07848567974725	5.12436083484871	5.1094696078752
205928_at	5.69373059540558	5.48871780900651	5.72733266874354	5.14408442593706	5.40625814034552	4.70799354518029
205929_at	5.16063818817674	5.10797625951192	5.05402003267393	5.15230876745057	5.12288159020962	5.09715014920979
205930_at	8.27779047930395	8.37364125379841	8.48975987712572	8.34471330058999	8.28950465297538	8.07573950772053
205931_s_at	6.7614358862223	6.1609997534464	6.7734980848005	6.5039636069539	7.94252790933906	8.32073532419921
205932_s_at	8.26762949168161	8.23158723719047	8.34654708187552	8.34317179137666	9.23908762668582	9.04430872884826
205933_at	6.90724817703399	7.10118600589084	7.22592965438825	6.58098275743192	8.07227777533504	7.8641725619993
205934_at	2.47249105176984	2.47249105176984	2.47394767696986	2.70314762830076	2.25220244678391	2.25220244678391
205935_at	2.95451963321935	3.11253029319185	2.95977126777845	3.18912588781228	2.89124550546098	2.99499026758433
205936_s_at	4.7141104744096	4.80267887661449	4.71125316086755	4.73670398424243	4.65320156178652	4.67651657170238
205937_at	4.71551887453582	4.6462769232912	4.68816730403065	4.67169259784483	4.21863759074905	3.99257963212831
205938_at	4.0034065317735	4.56243853228523	3.97995917855567	4.13079700240915	4.01917656341008	4.15940000135498
205939_at	3.3305314434659	2.97605370649173	2.95258255642817	2.89305009873888	3.06524203909108	3.04361869414797
205940_at	3.51289441031375	3.22193534637324	3.28667786595592	3.31058941356279	3.30193557577489	3.3161592404073
205941_s_at	4.43457823862784	4.51354547891042	4.33805842730676	4.58833376285169	4.10766352269632	4.33722856191081
205942_s_at	3.12527828854566	3.05148529619358	2.96011709248162	3.3507732791777	3.05148529619358	3.05148529619358
205943_at	6.20102367728439	5.97120263602349	6.1051687403697	7.2145722719497	11.6525056691434	11.5005419367985
205944_s_at	5.48581227117075	5.70204391357904	5.57673999779541	4.98127764002411	5.86888616564826	5.70526143130225
205945_at	4.19222455341199	3.91568293906329	4.21249810480161	4.68517107147027	4.35872089609717	4.60024283161308
205946_at	5.237041019719	5.05089756260527	4.99390324538348	5.29029719731037	5.0465008912585	5.00791699886952
205947_s_at	3.41443267474903	3.29321952689721	3.22502290098581	3.53885912058962	3.3925024493379	3.34440463905886
205948_at	4.24098168677116	4.1363526980137	4.4322385010023	4.20748158068124	4.25142438968405	3.83816954315331
205949_at	3.32403351303375	3.39893712893427	3.10525184191606	3.04178013130764	3.20765531538881	3.16227433924263
205950_s_at	5.3033035765154	5.36652218232398	5.04182654651006	5.37889008584713	5.3033035765154	5.33289859553555
205951_at	2.33402268692513	2.28003603633549	2.30302002414078	2.41283806242049	2.5746216713519	2.1634435340928
205952_at	2.72380770295373	3.29718848257962	2.74984347231567	3.39295534028991	2.90526842270559	2.9013793411397
205953_at	6.39873208818915	6.29598185639775	6.3111072754567	6.17880841683866	6.48941838579162	6.68697241195965
205954_at	3.05775399082676	3.11051651189007	2.83783551815346	2.83783551815346	3.00288770616469	2.98128359670642
205955_at	4.13921830790162	4.25539886938851	4.06783943441431	4.39454270184253	4.64683339293364	4.48628380363117
205956_x_at	8.45985775675054	8.37413835878872	8.42592435695345	8.55789068776069	6.82165524107462	6.80106522198067
205957_at	3.45820939923312	3.61870315398614	3.28399298680005	3.23737227652224	3.38967428309776	3.25980968252931
205958_x_at	2.77790458126286	2.93233318662874	2.87135516227352	2.93233318662874	3.05859537555039	2.79620031658451
205959_at	2.98047052495606	2.85368364929387	2.80960372926908	2.78408911481676	3.35011971493436	2.69100077742887
205960_at	3.01766082778788	2.85441190079832	3.02295524985863	2.88098162852144	2.87109976747113	2.89940780133537
205961_s_at	8.90888286406833	9.10832377713814	8.98861822351733	8.64109636072162	8.31903785043032	8.33197182970052
205962_at	2.68857016044036	2.64288685070479	2.66030803576243	2.80754738944745	3.10056358543788	2.79756072722924
205963_s_at	9.76884961609513	9.77604394294232	9.74947506133296	9.78110441827841	8.92285444540545	8.86149541506817
205964_at	7.66226872774831	7.70091737687604	7.75188561019434	7.85217363756944	7.94036222571724	8.08408677332182
205965_at	4.73832100012616	4.64288802642604	4.44119653736091	4.70720619291653	4.85542216988496	4.71607469746824
205966_at	3.63031248737651	3.87757270017444	3.81572007384387	3.76881958866472	3.29856746938939	3.32927521528729
205967_at	11.3766491157298	11.2462425617798	11.4568585818348	11.3858909507542	10.1436887131032	10.1566446532933
205968_at	7.24847222628734	7.91852062479724	7.34430012415962	7.04857408165753	6.39898599745772	6.03860176629462
205969_at	3.74087707895402	3.71518264543562	3.81811369683649	3.92380904533363	3.92129284787521	3.84722185531125
205970_at	4.73602303757764	4.70788763211353	4.45165852526898	4.62169926373874	4.48457157273393	4.76290026878005
205971_s_at	3.146335545122	2.87733922403026	3.13900438030412	3.03710426087514	2.97419922216416	2.92457103177909
205972_at	4.45485506354928	4.69133168130628	4.43317367898224	4.73751394728173	4.42353872341516	4.61045586626086
205973_at	3.4313438312552	3.49910890358212	3.51339035875496	3.50193372655723	3.53340216541045	3.51040819548254
205974_at	2.23495390624978	2.30417066200419	2.35900328627296	2.36448041112798	2.81156242018443	2.47312863995672
205975_s_at	5.36358922554705	5.27374102029543	5.03605251122633	5.18136900754901	6.35876331871035	6.115766917421
205976_at	4.79851609884943	5.09061639510333	4.58614690585447	4.21607335846202	4.75452870656271	4.48386194430336
205977_s_at	4.55710484367363	4.61328487261469	4.30480104515124	4.70695327777417	4.53637002741111	4.53676357840769
205978_at	2.18093628108857	2.2840539600279	2.21889289359173	2.245932757295	2.28333121995088	2.21209360082043
205979_at	2.37038199121452	2.3385285076854	2.27687502150544	2.40989132654915	2.3385285076854	2.16540438042829
205980_s_at	2.13924835349352	2.39287752379358	2.45959976722149	2.45350981123372	2.45013273631663	2.21832591738178
205981_s_at	7.78667308189624	7.88030613117283	7.86358052525067	7.89677424753252	7.47472725737354	7.46469034901642
205982_x_at	5.12804770596509	4.86785912530909	4.8626922945736	5.17989474560022	4.69158340655123	4.66360148546206
205983_at	4.69181959069184	5.00963507725541	4.55616195340334	4.71289070507605	4.99378071289274	5.00340205768859
205984_at	3.89911400205701	3.70772938681316	3.33057043480613	3.68976667213271	3.53387299486344	3.41638143507468
205985_x_at	4.28089321016375	4.18527098848875	4.13667079293837	4.40004452141951	4.06535251262805	4.13785793443844
205986_at	6.56372983726875	6.53807686810203	6.34381136459545	6.52725091657585	6.68513017066851	6.62931373840113
