	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679859_11B.CEL	GSM679860_12B.CEL
201180_s_at	11.3611395253501	11.2914159508673	11.3473035889732	11.4589240132409	10.5528883164645	10.6237251139371
201181_at	7.81353525979152	7.49358448049337	7.7053192804767	7.52310356331684	6.69651133351593	6.66640751208647
201182_s_at	6.68224445205762	6.58783545898147	6.75170221134981	6.9941994238069	7.4738498850761	6.96579809240834
201183_s_at	9.61227147893159	9.65937308856372	9.53432112870716	9.79875698218394	10.0439245795041	9.71533367536445
201184_s_at	8.83522785158254	9.0333509157498	8.80701359220338	8.95924498901113	9.08949616372551	9.05076703204995
201185_at	5.29379909795547	5.51971599940422	4.99188918946226	5.64866383671292	9.10395027360241	9.34749717026153
201186_at	8.82728424552405	8.99246742888519	8.86575698493236	8.87346017156956	8.84290356816817	8.87775176660499
201187_s_at	4.21875491600137	3.98561827833513	4.21210814928074	4.14873443821301	4.06042940641904	4.35372868459122
201188_s_at	5.45974637439862	5.89678244986467	5.38104584699455	5.82466718672321	5.62227871080228	5.61315555444834
201189_s_at	6.60797295279079	7.19391946405125	6.86273960743489	6.94874111942002	6.99691286726973	6.77214203561507
201190_s_at	9.54945049861929	9.48684629502068	9.60508254297201	9.63691676268495	9.57436285662601	9.61380959406277
201191_at	8.31443568308461	8.28057109442582	8.38280150190654	8.56126402107908	8.56018420044856	8.43961175177879
201192_s_at	8.84290356816817	8.85801015362991	8.90741274335125	9.27789034171387	8.42069230641477	8.43546429328037
201193_at	10.9879511103749	10.9347252484487	10.9527614301971	10.2129130363837	9.80295750381766	9.87091649606107
201194_at	9.28117903849112	9.22888529602471	9.23912845108263	9.22924192650068	9.6517562255651	9.685323403089
201195_s_at	10.2355318775752	9.98295333714314	10.2180667218224	10.2669926776357	8.96499133889503	9.05682127603023
201196_s_at	9.2892720583725	9.309324401014	9.26246958867827	9.3563242802893	9.02872878537859	8.75880965176879
201197_at	9.6767358556627	9.66831704233867	9.63210789128651	9.65112809585142	9.14958665580398	9.1069323713651
201198_s_at	10.9107103191128	11.0277521842943	10.9332444737538	10.9072663279536	10.3130826103799	10.3119342836632
201199_s_at	11.5609248407153	11.5562871883032	11.5203158210116	11.3685570484682	10.5531207067953	10.6420601595376
201200_at	7.92049419156021	8.08941541477806	8.00941836158749	8.02056462263184	8.75430526179949	8.8803254200728
201201_at	10.9171532072214	10.9374550868893	10.9845216381902	10.9662205639083	11.483828022972	11.4282647503261
201202_at	12.1621672408536	12.2666372677612	12.2132493341281	12.2248111104445	10.5095893203036	10.3544433939989
201203_s_at	5.91383437348198	5.6471965927939	5.93226801869548	5.85545015007029	6.89526363973114	6.74701781970204
201204_s_at	8.96949412335691	8.20541314861027	8.96053521137572	8.61674231897433	10.1418544345927	9.75473040167234
201205_at	4.581912319331	4.61103794676095	4.6587759063891	4.4202484360802	4.85757146441798	5.06385162959948
201206_s_at	7.28923483277771	6.81847655428555	7.17660726503757	6.91247042881304	8.02581177190362	7.83676950564965
201207_at	8.17158878013344	8.18105021105692	8.25512421061027	8.32822165300363	9.04350867977278	9.00377849114336
201208_s_at	6.82602559695727	6.58709078506471	6.7673302835491	7.05132227196632	7.53937777814721	7.32182846841449
201209_at	10.8736890863054	11.0716334023818	10.9562602577445	10.6031903301298	10.4362007606464	10.3531571692544
201210_at	11.4860446001509	11.4414174618716	11.4095288185336	11.4008279038176	11.352751028925	11.3992416971488
201211_s_at	7.51772269541481	7.58635966676727	7.46328777885351	8.03708632846412	7.54867899996093	7.48350159916095
201212_at	8.25738525655794	8.20287973476273	8.27749946701535	8.26334437062127	8.28586443738458	8.33766372420489
201213_at	6.6671557399433	6.57824103493403	6.6581448772378	6.49107190163463	5.99941177215437	6.21952883921756
201214_s_at	8.23726177462314	8.32463009017031	8.36093725295433	7.97063920884841	7.76959436445356	7.93456652109647
201215_at	10.3766782383406	10.2460580061535	10.4458081052139	10.5048886396795	11.8115457052481	11.6574075489942
201216_at	10.1374078397762	10.1763533127555	10.1980006489055	10.0297676277644	10.330604918866	10.3900539274011
201217_x_at	12.7729239238898	12.8616389834709	12.7645530054728	12.8335535803548	13.1552550337176	13.1100536916183
201218_at	10.5379163316466	10.4164465469317	10.5493909565777	10.2661689118286	11.0366822090102	10.9462202314968
201219_at	7.71488624907331	7.52652483187776	7.81168458920407	7.3988732888929	8.20512531931551	8.02058653923483
201220_x_at	10.9529906847685	10.8524193900518	11.0561434943967	10.9051833771002	11.7397720357062	11.6865274347283
201221_s_at	9.99938749905961	10.0150050605379	10.0000965750382	9.98047559062356	9.28833740100412	9.2908050195501
201222_s_at	9.46737957618797	9.40480673479244	9.4370653846161	9.97416644756662	9.83870162234686	9.66742390537309
201223_s_at	10.0971140755739	9.80170689765238	10.107245673496	10.0109011047307	9.69433872355086	9.65353106980378
201224_s_at	9.56639007733385	9.49857908722562	9.56243391150205	9.44998340399535	8.94555385423648	8.80410103800185
201225_s_at	10.7701290529982	10.7992281621555	10.833226955416	10.7771731373593	10.0426899650811	9.95394393786611
201226_at	10.3130903333407	10.1952600915738	10.3080762336837	10.2705823468746	9.98293427135964	9.97651395482443
201227_s_at	11.016478497514	10.9334900854873	11.0308513866357	10.9319139562436	10.8881283117464	10.7465221963683
201228_s_at	5.8058149488966	5.3100618687002	5.84153822460261	5.74982198152598	5.05251690017531	5.23807974846849
